Mon Dec 10 19:43:57 2018    ./profile.stats

         1106127434 function calls (1105796362 primitive calls) in 389.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/legendre.py:83(<module>)
        1    0.004    0.004    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:4(<module>)
      275    0.003    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/function_base.py:2940(add_newdoc)
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/random/__init__.py:88(<module>)
        1    0.003    0.003    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/function_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/decimal.py:116(<module>)
        6    0.000    0.000    0.003    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/string.py:148(substitute)
        6    0.003    0.000    0.003    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/linalg/linalg.py:10(<module>)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/hashlib.py:56(<module>)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/hermite.py:59(<module>)
        1    0.002    0.002    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/hermite_e.py:59(<module>)
        1    0.002    0.002    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/laguerre.py:59(<module>)
        1    0.001    0.001    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/_datasource.py:33(<module>)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/io.py:34(<module>)
     7876    0.003    0.000    0.003    0.000 ./core.py:85(setWeightIndex)
        1    0.001    0.001    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/_internal.py:6(<module>)
        1    0.001    0.001    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/fft/__init__.py:1(<module>)
        1    0.002    0.002    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:25(<module>)
